id,name,mgmt,moi,cat,sex,cluster_name,block_name,district_name,school_type,assembly_name,parliament_name,pincode,address,landmark,bus,coord
11042,GLPS MALLIKAPUR,ed,kannada,Lower Primary,co-ed,talagavara,chintamani,chikballapur,primary,Chintamani,Kolar,563128,,,,POINT(77.97006 13.322737)
15006,GLPS ATHIGIRI KOPPA,ed,kannada,Lower Primary,co-ed,bangarpet,bangarapete,kolar,primary,Bangarapet,Kolar,563114,,,,POINT(78.1774776666667 12.969456)
11683,GHPS A.HUNASENAHALLI,ed,kannada,Upper Primary,co-ed,melur,sidlaghatta,chikballapur,primary,Sidlaghatta,Kolar,562105,,,,POINT(77.8829193333333 13.38366)
27933,GOVT KBHPS SHIKALAWADI,ed,kannada,Upper Primary,co-ed,telagi,basavan  bagewadi,bijapur,primary,Basavana Bagevadi,Bijapur,586201,,,,POINT(75.8406386666667 16.4208393333333)
25195,GOVT HPS NAGANOOR,ed,kannada,Upper Primary,co-ed,yaktapur,shorapur,yadgiri,primary,Shahapur,Raichur,585309,,,,POINT(76.600916 16.6873236666667)
35028,G UHPS GURUBHOVIDODDI,ed,kannada,Upper Primary,co-ed,byramangala,ramanagara,ramnagara,primary,Magadi,Bangalore Rural,562109,,,,POINT(77.454202 12.7170423333333)
13309,GHPS YALAKAPPANAHATTI,ed,kannada,Upper Primary,co-ed,m.g.dibba,hosadurga,chitradurga,primary,Hosadurga,Chitradurga,577527,,,,POINT(76.2642193333333 13.8021776666667)
2314,GOVT HPS YARIHANCHINAL,ed,kannada,Upper Primary,co-ed,yadahalli,bilagi,bagalkot,primary,Jamkhandi,Bagalkot,587301,,,,POINT(75.4117396666667 16.4718003333333)
29372,HONKAR PS SATIMETAGI INCHAGERI,ed,kannada,Upper Primary,co-ed,jigajivanagi,chadachan,bijapur,primary,Nagthan,Bijapur,586117,,,,POINT(75.7095636666667 17.093402)
12423,HPS MEERASABHIHALLY,ed,kannada,Upper Primary,co-ed,dodderi,challakere,chitradurga,primary,Challakere,Chitradurga,577522,,,,POINT(76.736477 14.318192)
29151,GOVT KB HPS KUMASAGI,ed,kannada,Upper Primary,co-ed,malaghan,sindagi,bijapur,primary,Sindgi,Bijapur,586206,,,,POINT(76.363981 17.1035776666667)
18127,GLPS BATRAHALLI,ed,kannada,Lower Primary,co-ed,rayalamanadinne,mulbagal,kolar,primary,Mulbagal,Kolar,563131,,,,POINT(78.44773 13.1842366666667)
34711,G HPS PATLU,ed,kannada,Upper Primary,co-ed,mylanayakanahosahalli,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,571501,,,,POINT(77.1848128571429 12.67823)
12541,GHPS VENKTESHWARANAGARA,ed,kannada,Upper Primary,co-ed,challakere town,challakere,chitradurga,primary,Challakere,Chitradurga,577522,,,,POINT(76.6507433333333 14.3387176666667)
6364,GHPS BEDARAPURA,ed,kannada,Upper Primary,co-ed,badanaguppe,chamaraja nagar,chamrajnagar,primary,,,,,,,
12438,HPS KAMMATHMARIKUNTE,ed,kannada,Upper Primary,co-ed,gopanahalli,challakere,chitradurga,primary,Challakere,Chitradurga,577522,,,,POINT(76.6609325 14.2357658333333)
13302,GLPS K KURUBARA HALLI,ed,kannada,Lower Primary,co-ed,m.g.dibba,hosadurga,chitradurga,primary,Hosadurga,Chitradurga,577515,,,,POINT(76.219045 13.7327153333333)
2763,GOVT HPS JAMBAGI BK,ed,kannada,Upper Primary,co-ed,savalagi,jamakhandi,bagalkot,primary,Jamkhandi,Bagalkot,586126,,,,POINT(75.3206743333333 16.5711403333333)
6742,GLPS URDU,ed,kannada,Lower Primary,co-ed,therakanambe,gundlupet,chamrajnagar,primary,Gundlupet,Chamarajanagar,571123,,,,POINT(76.752841 11.8086016666667)
13025,HPS NELLIKATTE,ed,kannada,Upper Primary,co-ed,h.d.pura,holalkere,chitradurga,primary,Holalkere,Chitradurga,577557,,,,POINT(76.300756 14.06078)
11080,GULP S GANDRAGANAHALLI,ed,kannada,Lower Primary,co-ed,muragamalla,chintamani,chikballapur,primary,Chintamani,Kolar,563146,,,,POINT(78.1313396666667 13.4226033333333)
11163,GLPS GOTLAKUNTE,ed,kannada,Lower Primary,co-ed,vatada hosahalli,gowribidanur,chikballapur,primary,Gauribidanur,Chikkballapur,561228,,,,POINT(77.6089495238095 13.6869678571429)
13153,GLPS THOTADA MANE ,ed,kannada,Lower Primary,co-ed,srirampura,hosadurga,chitradurga,primary,Hosadurga,Chitradurga,577542,,,,POINT(76.4111755 13.6328255)
28548,GOVT LPS NIMBAL KH,ed,kannada,Lower Primary,co-ed,nimbal kd,indi,bijapur,primary,Indi,Bijapur,586211,,,,POINT(75.85238 17.0644006666667)
18227,GLPS NALLANDAHALLI,ed,kannada,Lower Primary,co-ed,uthanur,mulbagal,kolar,primary,Mulbagal,Kolar,563127,,,,POINT(78.2716 13.200519)
34204,G HPS KALYA,ed,kannada,Upper Primary,co-ed,hosapalya],magadi,ramnagara,primary,Magadi,Bangalore Rural,562120,,,,POINT(77.18246 12.9797203333333)
34724,G HPS PETTA,ed,kannada,Upper Primary,co-ed,mylanayakanahosahalli,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,571501,,,,POINT(77.2101694545455 12.6593787272727)
